Ubicación; dip; dipAz; Brunton_dip; Brunton_dipAz;Modelo celular;Dif_Dip;Dif_DipDir
Aflor1;70;270;66;271;Iphone 13 ProMax;4;-1
Aflor1;68;304;64;306;Iphone 13 ProMax;4;-2
Aflor1;67;82;66;94;Iphone 13 ProMax;1;-12
Aflor1;59;272;57;285;Iphone 13 ProMax;2;-13
Aflor1;80;34;81;40;Iphone 13 ProMax;-1;-6
Aflor1;79;34;79;44;Iphone 13 ProMax;0;-10
Aflor1;84;323;79;327;Iphone 13 ProMax;5;-4
Aflor1;71;246;69;252;Iphone 13 ProMax;2;-6
Aflor1;48;67;44;76;Iphone 13 ProMax;4;-9
Aflor1;76;38;79;42;Iphone 13 ProMax;-3;-4
Aflor1;70;274;66;271;Oukitel G1;4;3
Aflor1;67;295;64;306;Oukitel G1;3;-11
Aflor1;68;80;66;94;Oukitel G1;2;-14
Aflor1;59;278;57;285;Oukitel G1;2;-7
Aflor1;81;35;81;40;Oukitel G1;0;-5
Aflor1;80;44;79;44;Oukitel G1;1;0
Aflor1;81;324;79;327;Oukitel G1;2;-3
Aflor1;72;257;69;252;Oukitel G1;3;5
Aflor1;50;61;44;76;Oukitel G1;6;-15
Aflor1;77;31;79;42;Oukitel G1;-2;-11
Aflor1;68;269;66;271;Xiaomi Poco F3;2;-2
Aflor1;64;299;64;306;Xiaomi Poco F3;0;-7
Aflor1;67;71;66;94;Xiaomi Poco F3;1;-23
Aflor1;57;276;57;285;Xiaomi Poco F3;0;-9
Aflor1;80;30;81;40;Xiaomi Poco F3;-1;-10
Aflor1;80;38;79;44;Xiaomi Poco F3;1;-6
Aflor1;83;324;79;327;Xiaomi Poco F3;4;-3
Aflor1;71;242;69;252;Xiaomi Poco F3;2;-10
Aflor1;49;58;44;76;Xiaomi Poco F3;5;-18
Aflor1;79;33;79;42;Xiaomi Poco F3;0;-9
Aflor1;67;275;66;271;Redmi Note 8 Pro;1;4
Aflor1;61;306;64;306;Redmi Note 8 Pro;-3;0
Aflor1;67;87;66;94;Redmi Note 8 Pro;1;-7
Aflor1;56;271;57;285;Redmi Note 8 Pro;-1;-14
Aflor1;83;37;81;40;Redmi Note 8 Pro;2;-3
Aflor1;81;35;79;44;Redmi Note 8 Pro;2;-9
Aflor1;78;321;79;327;Redmi Note 8 Pro;-1;-6
Aflor1;68;249;69;252;Redmi Note 8 Pro;-1;-3
Aflor1;49;70;44;76;Redmi Note 8 Pro;5;-6
Aflor1;79;49;79;42;Redmi Note 8 Pro;0;7
Aflor2;60;163;58;176;Iphone 13 ProMax;2;-13
Aflor2;59;128;59;134;Iphone 13 ProMax;0;-6
Aflor2;76;28;74;40;Iphone 13 ProMax;2;-12
Aflor2;61;186;61;193;Iphone 13 ProMax;0;-7
Aflor2;45;136;44;144;Iphone 13 ProMax;1;-8
Aflor2;70;160;72;176;Iphone 13 ProMax;-2;-16
Aflor2;66;188;64;185;Iphone 13 ProMax;2;3
Aflor2;64;156;64;164;Iphone 13 ProMax;0;-8
Aflor2;83;180;88;188;Iphone 13 ProMax;-5;-8
Aflor2;35;340;34;348;Iphone 13 ProMax;1;-8
Aflor2;60;166;58;176;Oukitel G1;2;-10
Aflor2;59;116;59;134;Oukitel G1;0;-18
Aflor2;72;42;74;40;Oukitel G1;-2;2
Aflor2;60;182;61;193;Oukitel G1;-1;-11
Aflor2;46;125;44;144;Oukitel G1;2;-19
Aflor2;71;172;72;176;Oukitel G1;-1;-4
Aflor2;66;179;64;185;Oukitel G1;2;-6
Aflor2;63;159;64;164;Oukitel G1;-1;-5
Aflor2;84;186;88;188;Oukitel G1;-4;-2
Aflor2;38;336;34;348;Oukitel G1;4;-12
Aflor2;58;166;58;176;Xiaomi Poco F3;-3;0
Aflor2;58;121;59;134;Xiaomi Poco F3;-3;0
Aflor2;73;44;74;40;Xiaomi Poco F3;2;0
Aflor2;59;180;61;193;Xiaomi Poco F3;4;4
Aflor2;42;125;44;144;Xiaomi Poco F3;1;-6
Aflor2;69;172;72;176;Xiaomi Poco F3;-3;5
Aflor2;64;174;64;185;Xiaomi Poco F3;-3;-6
Aflor2;61;158;64;164;Xiaomi Poco F3;-6;-4
Aflor2;84;174;88;188;Xiaomi Poco F3;-10;-3
Aflor2;36;348;34;348;Xiaomi Poco F3;2;4
Aflor2;55;170;58;176;Redmi Note 8 Pro;-3;-6
Aflor2;58;128;59;134;Redmi Note 8 Pro;-1;-6
Aflor2;69;38;74;40;Redmi Note 8 Pro;-5;-2
Aflor2;55;178;61;193;Redmi Note 8 Pro;-6;-15
Aflor2;44;132;44;144;Redmi Note 8 Pro;0;-12
Aflor2;67;160;72;176;Redmi Note 8 Pro;-5;-16
Aflor2;62;185;64;185;Redmi Note 8 Pro;-2;0
Aflor2;59;155;64;164;Redmi Note 8 Pro;-5;-9
Aflor2;82;170;88;188;Redmi Note 8 Pro;-6;-18
Aflor2;34;339;34;348;Redmi Note 8 Pro;0;-9
